ID,기록일시,내식물ID,내식물이름,내용,노트태그,생장단계,성장스냅여부,공개여부,할일여부,완료일시,이미지수,이미지목록,생성일시
408479,2026-07-07 18:52,147135,,새 식물을 추가했어요! 🪴 몬스테라 델리시오사,,,false,false,false,,0,,2026-07-07 18:52
407706,2026-07-04 20:27,70320,필로덴드론 멜라노크리섬,본체 보내드리고 탑 살려봄,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/QCDappiEh7ccBNA4Dtd0T1MUpT8zsB16_48F69287-668F-4E2F-AB07-B6D7CAC6461D.jpg,2026-07-04 20:27
392486,2026-05-16 18:44,64825,스킨답서스,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/Bn8JlwhuhcANjIf7TD1RXz7FZZeyKqWo_2B9EB1C0-E7E9-4C5B-96B9-9FD55D36834C.jpg,2026-05-16 18:45
390654,2026-05-10 22:08,141688,호야 크라시페티올라타,새 식물을 추가했어요! 🪴 호야 크라시페티올라타,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/1H4trsXLuZz81yggbtbbXukCby40CADK_5B270D71-B2A7-41E0-96EC-3FAF089CF11A.jpg,2026-05-10 22:08
390643,2026-05-10 22:04,141680,호야 라쿠노사,새 식물을 추가했어요! 🪴 호야 라쿠노사,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/0q7FwglKUqySo0kqTU3S7DIbpcyO7AM6_CCB8CF4C-D297-47CA-B790-816E49529E43.jpg,2026-05-10 22:04
390516,2026-05-10 17:51,141654,호야 빌로바타,새 식물을 추가했어요! 🪴 호야 빌로바타,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/SwulQhLgEblLlSZB5QsKJXws3HUxPwCA_1E5EA46B-62C8-4C6E-B7C1-5494D7D348AB.jpg,2026-05-10 17:51
390513,2026-05-10 17:32,141651,필로덴드론 멜라노크리섬,새 식물을 추가했어요! 🪴 필로덴드론 멜라노크리섬,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/4UWNMHIHIdEFnLkszhOb4hQ6IK1p4j4L_ABB356A7-80A5-4B21-A76C-D8749782130D.jpg,2026-05-10 17:32
390084,2026-05-09 18:49,61246,스킨답서스 픽투스 엑조티카,재식재,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/U3XpQBt6FEgR2Bxvj2CcwifXLuVbwvYW_BDBEA40F-C88B-46FD-841B-DEE820989C93.jpg,2026-05-09 18:49
372930,2026-03-30 18:33,70317,호야 윌버그레이브,,,blooming,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/JBKLghxamNuJYcEznNuPCNE2xcfLZiUS_F6B43574-F69A-4946-8D6B-E01D77B58C5D.png,2026-03-30 18:33
346360,2025-12-28 11:58,127109,민트 아단소니,새 식물을 추가했어요! 🪴 민트 아단소니,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/GdtHRWUQrEhmYsp66wRXX9BMiGZoaJr6_E83DB538-23BC-4C51-85EC-B3823E6BB9AC.jpg,2025-12-28 11:58
