ID,이름,수량,직접입력종명,속태그,식물태그,관리번호,관리목표,입양일,마지막물준날,재배방식,화분,화분크기,토양pH,배합토,빠른메모,관리팁,물주기팁,비료팁,흙배합팁,장소ID목록,물주기주기,분무주기,비료주기,분갈이주기,가지치기주기,환기주기,환수주기,도감ID,이미지수,이미지목록,생성일시
141688,호야 크라시페티올라타,0,호야 크라시페티올라타,Hoya,,,새 잎 성장과 꽃 피우기,2026-05-09 00:00,2026-07-06 22:04,화분,,,,,,,,,,21733,5,,,,,,,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/1H4trsXLuZz81yggbtbbXukCby40CADK_5B270D71-B2A7-41E0-96EC-3FAF089CF11A.jpg,2026-05-10 22:08
141680,호야 라쿠노사,0,호야 라쿠노사,Hoya,,,새 잎 성장과 꽃 피우기,2026-05-09 00:00,2026-07-06 22:04,화분,,,,,,,,,,21733,5,,,,,,,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/0q7FwglKUqySo0kqTU3S7DIbpcyO7AM6_CCB8CF4C-D297-47CA-B790-816E49529E43.jpg,2026-05-10 22:04
141654,호야 빌로바타,0,호야 빌로바타,Hoya,,,새 잎 성장과 꽃 피우기,2026-05-09 00:00,2026-07-06 22:04,화분,플라스틱,,,,,,,,,21733,5,,,,,,,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/SwulQhLgEblLlSZB5QsKJXws3HUxPwCA_1E5EA46B-62C8-4C6E-B7C1-5494D7D348AB.jpg,2026-05-10 17:51
141651,필로덴드론 멜라노크리섬,0,,Philodendron,,,죽이지 않기,2026-05-09 00:00,2026-07-05 16:36,화분,플라스틱,,,,,,,,,16158,7,,,,,,,25787,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/4UWNMHIHIdEFnLkszhOb4hQ6IK1p4j4L_ABB356A7-80A5-4B21-A76C-D8749782130D.jpg,2026-05-10 17:32
127109,민트 아단소니,0,,Monstera,,,더 크게 키우기,,2026-07-05 16:36,화분,,,,,,,,,,16158,7,,,,,,,26427,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/GdtHRWUQrEhmYsp66wRXX9BMiGZoaJr6_E83DB538-23BC-4C51-85EC-B3823E6BB9AC.jpg,2025-12-28 11:58
116574,필로덴드론 파라이소 베르디,0,,Philodendron,분갈이시급,,죽이지 않기,2025-08-24 00:00,2026-07-05 16:36,화분,플라스틱,,,,,,,,,21733,7,,,,,,,26042,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/9UMis4oVavml3YU1rqEcsLBNo3s6STqN_64314AC2-10EA-474F-A7F1-6FEB02B501EC.jpg,2025-08-24 14:29
116573,필로덴드론 마요이,0,,Philodendron,,,죽이지 않기,2025-08-24 00:00,2026-07-05 16:36,화분,플라스틱,,,,,,,,,21733,5,,,,,,,25669,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/rcwCjrj8Vcg9y7yjuFLvahLtor6SkUqf_8D2A92EC-1858-4DFA-88B1-8B336F0A20FF.jpg,2025-08-24 14:27
115060,스킨답서스 실버 히어로,0,,Scindapsus,,,죽이지 않기,2025-07-06 00:00,2026-07-08 19:31,화분,플라스틱,,,,,,,,,16158,7,,,,,,,26534,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/NTIgJs9Ni8NXL4b3QOt6ZxNNB7AKNCno_819B5D98-2EE7-4233-A3BB-487F32C445C5.jpg,2025-08-09 15:37
103292,테이블야자,0,,Chamaedorea,,,더 크게 키우기,2025-04-11 00:00,2026-07-07 21:33,화분,,,,,,,,,,21733,7,,,,,,,2221,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/B8fhCBng3CpFGHxkwINQJm88IgI6LLWT_74236105-1C5D-49C4-924D-1D987A68627A.jpg,2025-05-14 19:21
103200,시조바시스 인트리카타,0,,Drimia,,,죽이지 않기,2024-09-27 00:00,2026-07-08 19:30,화분,플라스틱,,,,,,,,,16158,4,,,,,,,25847,3,https://d3jk3dbuafh2pk.cloudfront.net/care-note/pnQktu3Ae24QkeqRSEsWPbVHC8IlZsWW_70ACBF3F-8CFD-43F6-846F-EFBD8D123BD0.jpg|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/MdWONEyGIuLbSlLgyjzgDBad2LrrLl76_C1B9A141-4958-4577-90DA-F26788088124.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/UCO51AaE8LxXG8BUBClUx62JOuF9JjQq_838B69F1-7CE4-400F-9695-970558A2B1F0.png,2025-05-13 22:50
93001,청짜보,0,,Chamaecyparis,저면관수,,죽이지 않기,2025-03-30 14:36,2026-07-09 19:02,화분,테라코타,,,,,,,,,21733,3,,,,,,,25578,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/FXybcyRFaqnKtq5gdn2hKs40ouP8T2IE_953D8490-20B7-4A46-9CF0-BBACA874FD0A.jpg,2025-03-30 14:36
92990,하트아이비,0,,Hedera,분갈이시급,,더 크게 키우기,2025-03-30 13:42,2026-07-06 22:03,화분,플라스틱,,,,,,,,,21733,5,,,,,,,25701,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/Oi2afWzcEko9yscwK54uvypsdADFe25f_5F6754A2-A885-472B-A352-4C7D63A89467.png,2025-03-30 13:41
90605,아라비카 커피나무,0,,Coffea,,,더 크게 키우기,2025-03-15 00:00,2026-07-05 16:34,화분,플라스틱,,,,,,,,,21733,4,,,,,,,25632,3,https://d3jk3dbuafh2pk.cloudfront.net/care-note/KElwJDKiypddjV5BTp9cbkf3ah79xULF_B2B5E4CD-87F6-4C73-8597-660C9F707261.jpg|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/549XqiMPFOYEsgmrF9sMxRC6Hs6AtPGj_22196A45-2070-433B-8283-FA83F226E1F4.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/wbCSP80dCD53ef2yjXDrARAtoKTKAeJx_7C42A73B-0E4D-46C9-B76F-0CB71878518A.png,2025-03-22 09:57
80870,호야 휴스켈리아나 바리에가타,1,,Hoya,,,더 크게 키우기,2025-02-19 16:50,2026-07-06 22:04,화분,화분,,,,,,,,,16158,5,,,,,,,26483,4,https://d3jk3dbuafh2pk.cloudfront.net/care-note/VfzabEQsJfLCDGDAnCa0aj8SV7Shq9kK_FBE8D9FB-2634-4F4A-8DED-E98D9E067BE4.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/119TsYcUVGLPv0FMWHtKG6kD0lYdMIRj_E1411078-CE08-4DE3-A33C-22571F6CFFC7.jpg|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/SAv1MnsrwJMH0ynpdQrEgbpuwfgfzEzW_B3149D28-980E-447A-9050-AFB6438D15DF.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/frbOoKxTWOMwmWtICT9ZYZMspitSBnRp_FF96309E-DDEF-4B8C-B412-122105DC1704.png,2025-02-19 16:47
80869,윌리 아이비,1,Hedera Helix 'Willy',Hedera,,,더 크게 키우기,2025-02-19 16:43,2026-07-06 22:03,화분,플라스틱,,,,,,,,,21733,5,,,,,,,,2,https://d3jk3dbuafh2pk.cloudfront.net/care-note/4OoxLpkpbHnyNCyWHgOKuxgRdnteqMos_B9EEE6C6-3C46-4C40-8E16-DD6C3CE5C24B.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/pUI3Bsz5EOefvtQ0ouMjzEsNXI4XeqqA_CCE3DC92-1612-4450-B5E1-1153D4F85B22.jpg,2025-02-19 16:42
75821,스킨답서스 마야리,1,Scindapsus pictus 'Mayari',Scindapsus,,,죽이지 않기,2024-11-08 00:00,2026-07-08 19:31,수경 재배,기타,,,,,,,,,16158,7,,,,,,,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/PW83fA1gg3tnWGQPX86UywoTzp3ezs00_9BE57AA7-173C-4F9C-B51E-A681EF277724.jpg,2025-02-02 09:44
75505,호야 로툰디플로라,1,,Hoya,,,죽이지 않기,2025-01-26 00:00,2026-07-06 22:04,화분,테라코타,,,,,,,,,16158,5,,,,,,,26310,5,https://d3jk3dbuafh2pk.cloudfront.net/care-note/LoaQzVKKOn2rlpkvHSPrX2wq6dJ8Qv7I_8CB9BF19-9A3D-4B3F-8958-8FDFF5E302A4.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/ia6T5yOweGuyXZmpHpZ2CZMjAWjX3fuP_38472867-E020-45AA-988C-0B90774F6507.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/T8cAdFZJd4WFHEciSJTh2YN5opwiPs8A_CF613BEB-69CE-46D2-85AA-8408F5E60A8A.png|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/veAnDWFyKkyBSFmc8499pQVBwFHBKztA_C1C82060-CBA7-4338-B7AF-45D59BA3D847.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/R9tK9fhrvC7tLXM6mw015Svhwb1gloC1_695CA33F-0AF9-4442-9F77-43C370AF290F.png,2025-01-29 17:29
75504,호야 크로니아나 슈퍼에스키모,1,Hoya krohniana 'Super eskimo',Hoya,,,더 크게 키우기,2025-01-26 00:00,2026-07-06 22:04,화분,플라스틱,,,,,,,,,16158,5,,,,,,,,6,https://d3jk3dbuafh2pk.cloudfront.net/care-note/SyqIz3hj5wE6OZRXNtxrsKZ4B6Etnouj_4BA63B55-8030-4486-8D9D-81758F58D63B.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/Ng0Kh8yEzVOfxKCe1EqGvWmeOJejI6Ak_F4509577-64BD-441A-8966-FF6C645D3B03.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/OXrF8bUYNmD9JVLllaLQuQtK3PBNoixo_A43301A6-CF89-4AE5-957F-E5072719504A.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/kWm68BVAEj37n8s4lpYhaHYw1y1dkUXO_0AC2443A-549E-433A-BF02-559D2627003E.png|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/OJPMJpOiauXQAbvfrnjCrIBnE7yF8uS4_E816A5B7-6DA8-4B70-9A75-9FBB11373CDF.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/SIWOMSR0Iu6gDhzoQ0pUGagjqRhmR2Cu_AE059D2F-7605-4F04-877E-F09F8893109F.png,2025-01-29 17:21
75503,필로덴드론 미칸,1,,Philodendron,,,더 크게 키우기,2025-01-26 00:00,2026-07-04 20:28,화분,플라스틱,,,,,,,,,21733,7,,,,,,,26094,4,https://d3jk3dbuafh2pk.cloudfront.net/care-note/qA2NEqpLbnYTISBPY2kcozoSzlAjuykM_71FB48AA-3D1B-4E90-8591-CF502EFAC82B.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/svN28TMhOvRiBVxR44sArPtnvfsYTZDl_B56EE74F-E117-48C9-8998-A728D3516634.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/GY6JgoKEtNNeb4ALKErOMwx1WWrfnYhk_B3783AC7-AF2D-40C2-999F-F1705C370FC9.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/Xo0S4NcApOF7Y55dwmwESv83Vw7Poh1U_B65A7B69-CD14-4385-AADE-3ADCE8C0393E.png,2025-01-29 17:10
75501,달마시안 아이비,2,,Hedera,,,더 크게 키우기,2025-01-26 00:00,2026-07-06 22:03,화분,화분,,,,,,,,,21733,5,,,,,,,9720,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/1NnyLcU9p9DPoo5mGQNrliZaj73uTTN3_56EEC851-8E5A-497F-A391-84092CAF20C4.png,2025-01-29 16:58
73090,반딧불이아이비,1,,Hedera,,,더 크게 키우기,2024-09-29 00:00,2026-07-06 22:03,화분,화분,,,,,,,,,21733,5,,,,,,,26115,2,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/JLXejk49SmwXntVkKn9MpKa0U3mjWhEl_71F086DB-8F9C-4E3E-A60E-C827707450D7.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/sUHXy1Ipj66kj28tj4ei96RpxaTuGuEt_9DB41819-8C9A-4F40-A1EF-BF7570DEFCF5.png,2025-01-05 12:08
72954,필로덴드론 버럴막스,1,,Philodendron,,,죽이지 않기,2024-12-16 00:00,2026-07-06 22:04,화분,플라스틱,,,,,,,,,21733,5,,,,,,,25966,5,https://d3jk3dbuafh2pk.cloudfront.net/care-note/lAkcrXdcw9ehN1ADaODD134JJiWdmnqN_B983F26D-B31A-4142-8A18-353ED995093C.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/UugiETGz6vP5Y7YCtdiwqX3oefTFQdRa_A78039FE-E14C-4D61-B52C-F7C75517D908.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/EjPrneC2vaT7igLSFmEpMFX0pfJ91MwJ_9A34D0F0-F7B8-4CA3-90AA-8DEA3DC4E0F3.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/ta2aVojCf5XyuIvulRCOLB5i8eofXqvZ_92B47D28-11F7-45F4-BCB1-1533D06F35A7.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/o81DMg63SdTcFni30Hj5EGHYdJ61Ta5A_8A470747-DC62-42EB-BD0F-DBFC04E25578.png,2025-01-04 19:47
70322,안스리움 비타리폴리움,1,,Anthurium,,,죽이지 않기,2024-12-07 23:17,2026-07-06 21:56,화분,플라스틱,,,,,,,,,21733,10,,,,,,,26045,2,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/JGKo9KMEjHQWoMoAiinPWRM3DQ8TbB6n_0DCDC34B-1B01-4EED-8058-2227A460AA6E.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/SrUCmjTYsT5nNm0ziXjd09bJXiu38Iy9_BA852141-68F4-4669-BD73-3BBC2905BB17.png,2024-12-07 23:16
70320,필로덴드론 멜라노크리섬,1,,Philodendron,,,더 크게 키우기,2024-12-07 23:15,2026-07-04 20:27,화분,플라스틱,가네야 11호,,,,,,,,16158,10,,,,,,,25787,2,https://d3jk3dbuafh2pk.cloudfront.net/care-note/QCDappiEh7ccBNA4Dtd0T1MUpT8zsB16_48F69287-668F-4E2F-AB07-B6D7CAC6461D.jpg|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/qlNxlO2EZ0FXlUJJsRjPIHZQo9wG107o_9296E4D2-0C72-4A56-9528-F5848BDC1D60.jpg,2024-12-07 23:14
70319,싱고니움 레드스팟 트리컬러,0,,Syngonium,,,더 크게 키우기,2024-12-07 23:13,2026-07-05 16:37,화분,플라스틱,,,,,,,,,21733,7,,,,,,,26496,2,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/vc0aVXf9hZSAzxZtLYPKptgHioPaGAxQ_217DEBFB-BF9A-4456-B571-60C47695E76B.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/EhNlclb61LR9EE8TgYQAVHJ0aVmvLzLq_EE76A73F-86A2-4483-961F-E9894D25EBA9.png,2024-12-07 23:13
70317,호야 윌버그레이브,1,Hoya wilbur graves,Hoya,,,새 잎 성장과 꽃 피우기,2024-12-07 23:12,2026-07-06 22:04,화분,플라스틱,,,,,,,,,16158,5,,,,,,,,5,https://d3jk3dbuafh2pk.cloudfront.net/care-note/nQCwG7moxPAdjLTJzlMsrS4Hg8vRki8z_11F9145A-B89C-4ABA-A05C-5D23F2D2F9D1.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/nhh8YLNAIqHfxWjBemvSChX3XNlivRmT_0059D8E5-1B75-467F-8B54-44963AD5D526.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/dfLUvRTxh9ebcr9V2tBKtcJH0sh10jvK_F592E7AC-48B9-41EF-B53B-9CB4A8BAA34B.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/VkbkEa5R5XTCIaHXgw1Ej8dHGZF1emUq_2A631EB5-5BB1-4B70-BF21-89229FD40C4E.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/JBKLghxamNuJYcEznNuPCNE2xcfLZiUS_F6B43574-F69A-4946-8D6B-E01D77B58C5D.png,2024-12-07 23:10
68453,아데니움 오베숨,1,,Adenium,,,죽이지 않기,2024-11-18 00:00,2026-07-07 21:32,화분,화분,,,,,,,,,21733,10,,,,,,,26012,4,https://d3jk3dbuafh2pk.cloudfront.net/care-note/sVMfOAk14OXLTSrpQbQx8qCpHYcrxApX_25D2A810-90CF-416E-A756-1381D47B6BDA.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/f5FI450g1hv3tx2D5RPdsznsloii8w45_7DB5D5D8-1C1B-4947-960D-ACEC3FB82217.png|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/gOukpy8ASNxx7kk71sN77RbsSnjYuhCP_A1525D11-7D70-4045-B853-4430860304C5.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/qG4m9EtDHkbI5AhHStjNXcJuozyA00s0_D35E38F7-B70B-4E4D-AF3C-605ABF175600.png,2024-11-23 02:49
67035,스킨답서스 트루비 문라이트,1,,Scindapsus,,,더 크게 키우기,2024-11-09 00:00,2026-06-14 21:13,화분,플라스틱,,,,,,,,,16158,,,,,,,,26458,3,https://d3jk3dbuafh2pk.cloudfront.net/care-note/8D6XssNuZDsy0UcNcfEmYtokvF8ZYKwV_E06FF051-8590-4BFC-9072-0E9448E36B5C.png|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/VycIIAtCtEpL8O9u3S1SSW1Dgc8REyTX_35720818-82D1-43A9-9077-B065197C4484.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/YkUHq0CE08GkIKnUeF5IAXIpMjTh9qXN_C6ECA503-25DE-4F46-AEB8-9E3BCD7DE2B1.jpg,2024-11-11 21:22
66085,스킨답서스 오레우스,0,,Epipremnum,저면관수,,더 크게 키우기,2024-11-03 00:00,2026-07-05 16:35,화분,화분,,,,,,,,,16158,7,,,,,,,25942,3,https://d3jk3dbuafh2pk.cloudfront.net/care-note/LyIiRDXZipTZUFqdiS9LXcOjl7H7vY29_A0AB3A52-834D-4755-8723-8DEE473419E5.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/VsSwA92STjgKl5yxjpuqnH0iqcvIPr84_48CA0368-DDC2-4E8B-A4F1-2AC68F3F2C3D.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/10asP6w14b8vYFurR52CXKYJehkXHOmW_B848A1F4-C052-4CA0-A580-60B32EA8B9C6.png,2024-11-04 22:52
66082,핑크 싱고니움,0,,Syngonium,,,더 크게 키우기,2024-11-03 00:00,2026-07-09 19:05,화분,화분,,,,,,,,,21733,7,,,,,,,25918,3,https://d3jk3dbuafh2pk.cloudfront.net/care-note/OlzjH0OVUFSxSgWuFPA7jF5FEOcCNwc1_BFAB613E-066F-4C73-BB40-3E0F724A569F.jpg|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/O8esvjecpEBDCUcjCt5cDdzYW0hocViB_762E46D3-D1E7-4E40-819A-8669084E985F.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/VSLJKfrFErqBg5G3qIR6y6FKGNwnIQN3_0775E260-49B3-4447-93BC-47CF431C7897.jpg,2024-11-04 22:47
66022,싱고니움 밀크컨페티,0,,Syngonium,,,더 크게 키우기,2024-11-03 00:00,2026-07-06 22:06,화분,플라스틱,,,,,,,,,21733,5,,,,,,,25839,2,https://d3jk3dbuafh2pk.cloudfront.net/care-note/utZi7HXCLr9aenxEOEJE4KSrNINd2uaQ_E7263331-4BEA-404D-A955-6E4BA5829223.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/i7MmtAME8WLPiSmABsee15F0xI9Q9kiw_67E09E2A-80E3-421C-95FD-E805F8319465.png,2024-11-04 05:58
65280,로즈마리,1,,Salvia,,,죽이지 않기,2024-10-22 00:00,2026-07-06 22:05,화분,플라스틱,,,,,,,,,21733,5,,,,,,,24103,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/HziFg33viTJCTSAAg9aJhOMmJQM7XN23_314B06AD-6CB6-487B-8383-D387C8E5D151.jpg,2024-10-28 22:28
64825,스킨답서스,1,,Epipremnum,,,더 크게 키우기,2021-01-13 00:00,2026-06-30 18:49,화분,플라스틱,,,,,,,,,21733,7,,,,,,,21458,3,https://d3jk3dbuafh2pk.cloudfront.net/care-note/yVN5xZoBolZgYSaeB53IMbJBnzljryPm_E3F44C76-D6CB-4821-A7FE-6BB8757E6E85.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/hBHFvy09rAnRvzDhZihkbFIN5TLcEywj_90EEC917-D43D-4A8F-826A-214C9C586C34.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/Bn8JlwhuhcANjIf7TD1RXz7FZZeyKqWo_2B9EB1C0-E7E9-4C5B-96B9-9FD55D36834C.jpg,2024-10-26 09:30
63637,마오리 소포라,0,,Sophora,,,죽이지 않기,2024-10-13 00:00,2026-07-06 22:06,화분,테라코타,,,,,,,,,21733,5,,,,,,,25612,2,https://d3jk3dbuafh2pk.cloudfront.net/care-note/0dnhxHLMuopO4uSMpEoV1XtBjv38mSGd_2B519619-498C-427F-ABB7-C38EC030FCD3.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/NHJTTjN4ksv9kMo4YKGVW36S56top6YX_5A89FAC8-C9CE-4C5B-8783-5D09DEA6769F.png,2024-10-15 22:46
61268,제주애기모람,0,,Ficus,,,죽이지 않기,2024-09-29 22:29,2026-07-08 19:30,기타,기타,,,,,,,,,21733,3,,,,,,,6968,3,https://d3jk3dbuafh2pk.cloudfront.net/care-note/OiQM1vOcAjJ3wEgWU1hgLWOWnqdAAcaf_978B51AF-508B-4D55-9DAE-EBD12FE4C7DC.png|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/xUxCSDcLEVnlA75uM43U3euQW2X6E8Xd_9167323B-E39D-4F71-8B2E-C2007389437D.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/5nfNUpLZgqBgs8uEL5NAw3pOHj0izf9v_69C6B26D-96E5-4DF9-AD46-235717B287AD.png,2024-09-29 22:03
61246,스킨답서스 픽투스 엑조티카,0,,Scindapsus,저면관수,,더 크게 키우기,2024-09-29 20:29,2026-07-04 20:29,화분,플라스틱,,,,,,,,,21733,7,,,,,,,4476,4,https://d3jk3dbuafh2pk.cloudfront.net/care-note/U3XpQBt6FEgR2Bxvj2CcwifXLuVbwvYW_BDBEA40F-C88B-46FD-841B-DEE820989C93.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/uqZ7hruGD4geCfv41ny8pMoZTvtj0O6f_0EE08398-78AD-4D90-AB01-D059AB38E7DD.png|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/U84CMzLW66p8i7zWzEiFrSsq4ZUcfI0a_829BFFC5-B6B9-4F07-AB8C-79DC2D78E5E3.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/4LjhIKDlbZFWW3nBf6NyBEKwhIMXaf0p_2A6260FF-7A84-47E6-8069-E7ABAA8F5C0D.png,2024-09-29 20:29
59914,필로덴드론 플로리다 뷰티 바리에가타,0,,Philodendron,,,더 크게 키우기,2024-09-22 21:05,2026-07-06 22:04,화분,플라스틱,,,,,,,,,21733,10,,,,,,,26518,2,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/H2RjMNgvysZLYOAc1GtK1dMFbrbhDtgO_DC058410-F6B4-4CD3-929B-7F0A23E85B09.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/bFgYWHgke7pu2ONpOXbXnAC2RVbEQzxR_DE86CB73-7250-4CD0-AB9C-21D4D8ADED87.png,2024-09-22 21:04
59730,골든잉곳아이비,0,Hedera helix 'Golden Ingot',Hedera,,,더 크게 키우기,2024-09-18 00:00,2026-07-06 22:03,화분,화분,,,,,,,,,21733,5,,,,,,,,3,https://d3jk3dbuafh2pk.cloudfront.net/care-note/FRvazn6bvTsS3poOYQOBySIzrsbI0GpK_2DD256FD-0774-4F83-BB13-C29DD9362B80.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/JVcHJOpiIaUm1wZ1ey3evcx1DhK6V34s_AD219471-6E1F-47FF-8AD8-653A9935B672.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/y4uUwEyHo8gqmnDtD7aBWhCICVTk4QKz_D198FD48-72D4-4C1A-9427-55080BE0CCCC.png,2024-09-21 23:22
57853,드라세나 수르쿨로사 밀키웨이,0,드라세나 수르쿨로사 밀키웨이,Dracaena,,,더 크게 키우기,2024-09-07 00:00,2026-07-05 16:34,화분,기타,,,,,,,,,21733,7,,,,,,,,3,https://d3jk3dbuafh2pk.cloudfront.net/care-note/XK58dHP3HkBcMHlj8ztwOF4ZNJyymct1_AD27DCBD-DC78-4937-A4CE-B3B51B762333.png|https://d3jk3dbuafh2pk.cloudfront.net/user-plant/6lTPOlK2xAIF6PuHwcBEp0h3Kn6vqDwE_D7C48356-28C5-47D7-9C40-4BE89612E37C.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/oa1u37tyxJrirmVnGlhsR90Lz5AlT2Ku_36B983DA-E4F1-4E97-AB6E-D6A79A6968DB.png,2024-09-09 22:37
57852,스테파니아 에렉타,0,,Stephania,,,죽이지 않기,2024-09-07 00:00,2026-07-07 21:34,화분,유약/고화도 토분,,,,,,,,,21733,12,,,,,,,25644,2,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/j8lmHu7wud4XEcsTGO2EDuprW1iSpjN9_0FEFED87-A832-4F46-A995-4BBB8E8C1E4F.jpg|https://d3jk3dbuafh2pk.cloudfront.net/care-note/aoEO6NlQUqv28w68986Rfmf7nXksu70f_94EDE4EF-A7F2-4EBA-A439-08AC0205DDAC.png,2024-09-09 22:33
